EMPLOYER_ADDRESS_1,EMPLOYER_ADDRESS_2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,Address,geocoded
464A 23rd Ave NW,,Underwood ,ND,58576,464A 23rd Ave NW Underwood  ND 58576,"(47.4538404, -101.1370839)"
4332 Whiteville Rd,,Ville Platte,LA,70586,4332 Whiteville Rd Ville Platte LA 70586,"(30.760935, -92.20116800000001)"
21701 LAWSON RD,,LITTLE ROCK,AR,72210,21701 LAWSON RD LITTLE ROCK AR 72210,"(34.7168575, -92.51709509999999)"
109 North Bridgeman St. ,,Fairmont,MN,56031,109 North Bridgeman St.  Fairmont MN 56031,"(43.736805, -94.43857539999999)"
4100 Buffalo Ridge Road,,Valier,MT,59486,4100 Buffalo Ridge Road Valier MT 59486,"(48.4313424, -112.2897641)"
W10757 Jeffrey Road,,Merrillan,WI,54754,W10757 Jeffrey Road Merrillan WI 54754,"(44.4328301, -90.851244)"
111 North Clay,,Angleton,TX,77515,111 North Clay Angleton TX 77515,"(29.16941, -95.4318847)"
11 West Bayou Drive,,Crowley,LA,70526,11 West Bayou Drive Crowley LA 70526,"(30.22474339999999, -92.3857975)"
403 North Madison Street - - no mail receptacle,PO Box 474,Twin Bridges,MT,59754,403 North Madison Street - - no mail receptacle Twin Bridges MT 59754,"(45.547223, -112.3297558)"
1237 Big Bend Road,,Moreauville,LA,71355,1237 Big Bend Road Moreauville LA 71355,"(31.102659, -91.82761099999999)"
2299 Lanse Meg Rd ,,Mamou,LA,70554,2299 Lanse Meg Rd  Mamou LA 70554,"(30.5828011, -92.3981307)"
1690 Hwy 44,,Tichnor,AR,72166,1690 Hwy 44 Tichnor AR 72166,"(34.1403051, -91.2705787)"
5536 Hwy 107 S,,Plaucheville,LA,71362,5536 Hwy 107 S Plaucheville LA 71362,"(30.9295133, -91.9536298)"
234 Kitterlin Bay Road,,Jena,LA,71342,234 Kitterlin Bay Road Jena LA 71342,"(31.5091691, -92.2610303)"
559 Boyd Rd,,Holly Bluff,MS,39088,559 Boyd Rd Holly Bluff MS 39088,"(32.8211767, -90.7082269)"
599 N First Street,,Rolling Fork ,MS,39159,599 N First Street Rolling Fork  MS 39159,"(32.9143433, -90.8788165)"
354 Woodruff 752,,Gregory,AR,72059,354 Woodruff 752 Gregory AR 72059,"(35.155166, -91.3318649)"
510 Second St,,Indianola,MS,38751,510 Second St Indianola MS 38751,"(33.4484806, -90.64217769999999)"
15705 State Rd. 23,,Cimarron,KS,67835,15705 State Rd. 23 Cimarron KS 67835,"(37.7840717, -100.342904)"
989 Johnson Road,,Lonoke,AR,72086,989 Johnson Road Lonoke AR 72086,"(34.849511, -91.96154399999999)"
4435 Whiteville Road,,Ville Platte,LA,70586,4435 Whiteville Road Ville Platte LA 70586,"(30.7630112, -92.198116)"
5901 E Hwy 377,,Granbury,TX,76049,5901 E Hwy 377 Granbury TX 76049,"(32.4792674, -97.68637149999999)"
110 EVERGREEN STREET,,BUNKIE,LA,71322,110 EVERGREEN STREET BUNKIE LA 71322,"(30.9537487, -92.1819094)"
16019 Milo Road,,Austin,TX,78725,16019 Milo Road Austin TX 78725,"(30.2221743, -97.56143469999999)"
10304 N FM 117,,Uvalde,TX,78801,10304 N FM 117 Uvalde TX 78801,"(29.0811859, -99.720901)"
974 Lake Washington Road W Glen  ,,Glen Allan ,MS,38744,974 Lake Washington Road W Glen   Glen Allan  MS 38744,"(33.0710444, -91.0536709)"
2504 Walden Woods Dr,Suite 3,Plant City,FL,33566,2504 Walden Woods Dr Plant City FL 33566,"(27.9864558, -82.1154871)"
104 San Marco Drive,,Baxley,GA,31513,104 San Marco Drive Baxley GA 31513,"(31.7646078, -82.3363342)"
408 3rd Street,,Oberlin,LA,70655,408 3rd Street Oberlin LA 70655,"(30.6151277, -92.7651858)"
43 Chase Hill Drive,,Big Sandy,MT,59520,43 Chase Hill Drive Big Sandy MT 59520,"(47.85538460000001, -109.69633)"
185491 US Hwy 271,,Finley,OK,74543,185491 US Hwy 271 Finley OK 74543,"(34.324664, -95.506191)"
91 Crabapple Hill Rd,"Mailing: 45 Phillips Rd, Milford, NJ 08848",Milford,NJ,8848,91 Crabapple Hill Rd Milford NJ 8848,"(40.5866403, -75.1579248)"
2199 West Street,,Vinton,LA,70668,2199 West Street Vinton LA 70668,"(30.1690099, -93.58771560000001)"
312 E. MILL ST STE 102,,SANTA MARIA,CA,93454,312 E. MILL ST STE 102 SANTA MARIA CA 93454,"(34.9551639, -120.4320054)"
3224 Unit B Hwy 230,,Encampment,WY,82325,3224 Unit B Hwy 230 Encampment WY 82325,"(41.2172385, -106.7806096)"
3018 Pocket Avenue,,Riverbank,CA,95367,3018 Pocket Avenue Riverbank CA 95367,"(37.72099, -120.939473)"
19712 Kristin Road,,Kaplan,LA,70548,19712 Kristin Road Kaplan LA 70548,"(30.0373372, -92.3044288)"
4273 Manuel Lake Road,,Basile,LA,70515,4273 Manuel Lake Road Basile LA 70515,"(30.4876911, -92.5724511)"
15457 STUTTS ROAD,P O BOX 338,BONITA,LA,71223,15457 STUTTS ROAD BONITA LA 71223,"(32.9339939, -91.70754079999999)"
17885 JONES CUTOFF ROAD,,BONITA,LA,71223,17885 JONES CUTOFF ROAD BONITA LA 71223,"(32.9685257, -91.6514208)"
10106 Jefferson Island Road,,New Iberia,LA,70560,10106 Jefferson Island Road New Iberia LA 70560,"(29.9674094, -91.97458259999999)"
655 Fish Farm Lane,,Claudeville,VA,24076,655 Fish Farm Lane Claudeville VA 24076,"(36.5700067, -80.4374764)"
1901 S 5100 W,,Ogden,UT,84401,1901 S 5100 W Ogden UT 84401,"(41.2334878, -112.1028481)"
85 Fladager Road,"P.O.Box 556, Peerless, Daniels County, MT 59253",Peerless,MT,59253,85 Fladager Road Peerless MT 59253,"(48.7839696, -105.7920333)"
6730 Elmore  Road,PO Box 313 (USPS address),Fruitland,ID,83619,6730 Elmore  Road Fruitland ID 83619,"(43.9884102, -116.8933893)"
2540 Highway 31,,Arnaudville,LA,70512,2540 Highway 31 Arnaudville LA 70512,"(30.464663, -91.94234499999999)"
15705 State Road,"P.O. Box 269, Cimarron, KS 67835, Gray County (Mailing)",Cimarron,KS,67835,15705 State Road Cimarron KS 67835,"(37.8111384, -100.3485148)"
38a Fifty Acre Road,,Saint James,NY,11780,38a Fifty Acre Road Saint James NY 11780,"(40.8808601, -73.1720804)"
38A FIFTY ACRE ROAD,,ST JAMES,NY,11780,38A FIFTY ACRE ROAD ST JAMES NY 11780,"(40.8808601, -73.1720804)"
4762 Peanut Trail,,Hendrix,OK,74741,4762 Peanut Trail Hendrix OK 74741,"(33.7415848, -96.36243449999999)"
12906 Community Road,,Abbeville,LA,70510,12906 Community Road Abbeville LA 70510,"(29.8821541, -92.1879574)"
454 E 300 N Road,,Gibson City,IL,60936,454 E 300 N Road Gibson City IL 60936,"(40.4430618, -88.3745803)"
37669 Hwy 64,,Meeker ,CO,81641,37669 Hwy 64 Meeker  CO 81641,"(40.03747329999999, -107.9131299)"
1658 Turner Church Rd.,,McDonough,GA,30252,1658 Turner Church Rd. McDonough GA 30252,"(33.4716273, -84.0839383)"
62 Paul Cemetery Rd.,,Forest Hill,LA,71430,62 Paul Cemetery Rd. Forest Hill LA 71430,"(31.0562451, -92.4636306)"
16774 Hwy 171,,Ragley,LA,70657,16774 Hwy 171 Ragley LA 70657,"(30.51269899999999, -93.2323813)"
6676 Harmon Rd.,,Iota,LA,70543,6676 Harmon Rd. Iota LA 70543,"(30.3402947, -92.4424586)"
265 Bobcat Angus Loop,,Galata,MT,59444,265 Bobcat Angus Loop Galata MT 59444,"(48.954293, -111.4425519)"
19283 CR 532,,Greenwood,MS,38930,19283 CR 532 Greenwood MS 38930,"(33.5162315, -90.1795281)"
7901 4th Street N.,Suite 300,St. Petersburg,FL,33702,7901 4th Street N. St. Petersburg FL 33702,"(27.8442805, -82.6383464)"
3661 Ballards Crossroads Rd,,Greenville,NC,27834,3661 Ballards Crossroads Rd Greenville NC 27834,"(35.5385997, -77.5025012)"
11455 N Maple Island Rd.,,Fremont,MI,49412,11455 N Maple Island Rd. Fremont MI 49412,"(43.461413, -86.04256339999999)"
17255 S.E. Highway 452,,Umatilla,FL,32784,17255 S.E. Highway 452 Umatilla FL 32784,"(28.9653525, -81.7852813)"
4533 U.S. Hwy 14 -16,4533 U.S. Hwy 14 -16,Leiter,WY,82837,4533 U.S. Hwy 14 -16 Leiter WY 82837,"(44.7222504, -106.2909244)"
8884 Mercer Pike,,Meadville,PA,16335,8884 Mercer Pike Meadville PA 16335,"(41.588337, -80.15358650000002)"
3521 CR 505,,Lake City,AR,72437,3521 CR 505 Lake City AR 72437,"(35.8208218, -90.4468543)"
29662 Highway 92,,Hotchkiss,CO,81419,29662 Highway 92 Hotchkiss CO 81419,"(38.7993333, -107.8069974)"
PO Box 359,1540 West Market,Meeker,CO,81641,PO Box 359 Meeker CO 81641,"(40.03747329999999, -107.9131299)"
700 S 250 W ,,Fountain Green,UT,84632,700 S 250 W  Fountain Green UT 84632,"(39.6188358, -111.638441)"
4937 Road 17-2033 (physical),PO Box 2024 (mailing),Poplar,MT,59255,4937 Road 17-2033 (physical) Poplar MT 59255,"(48.1130741, -105.1983149)"
2949 Pinon Circle,2949 Pinon Circle,Craig,CO,81625,2949 Pinon Circle Craig CO 81625,"(40.5086285, -107.5837909)"
1215 Garcia Ranch Road,"PO Box 37, Orinda, CA, 94563 (Mailing Address)",Briones,CA,94553,1215 Garcia Ranch Road Briones CA 94553,"(37.9495487, -122.1694163)"
897 North 100 East,897 North 100 East,Price,UT,84501,897 North 100 East Price UT 84501,"(39.6156131, -110.8085165)"
"PO Box 120002, Antimony, UT, 84712",,Antimony,UT,84712,"PO Box 120002, Antimony, UT, 84712 Antimony UT 84712","(38.1169284, -111.99964)"
425 Riverview Ave,"PO Box 1046, Craig, CO, 81626",Craig,CO,81625,425 Riverview Ave Craig CO 81625,"(40.5130332, -107.5718969)"
568 CR. 702,"PO Box 1, Dixon, WY, 82323",Dixon,WY,82323,568 CR. 702 Dixon WY 82323,"(41.0437816, -107.5452409)"
18489 CR 15,,Johnstown,CO,80534,18489 CR 15 Johnstown CO 80534,"(40.2710222, -104.9314934)"
9747 S. Avenue 9 3/4 E.,,Yuma,AZ,85365,9747 S. Avenue 9 3/4 E. Yuma AZ 85365,"(32.6889978, -114.4781075)"
Case duplicated,,Steamboat Springs,AL,11111,Case duplicated Steamboat Springs AL 11111,"(32.3182314, -86.902298)"
696 Tongue River Rd,,Miles City,MT,59301,696 Tongue River Rd Miles City MT 59301,"(46.1677056, -105.784897)"
312 E. Mill ST 102,,SANTA MARIA,CA,93454,312 E. Mill ST 102 SANTA MARIA CA 93454,"(34.9551639, -120.4320054)"
2043 N Road ,,Fruita,CO,81521,2043 N Road  Fruita CO 81521,"(39.20591, -108.672657)"
7332 E Butherus Dr ,,Scottsdale ,AZ,85260-2426,7332 E Butherus Dr  Scottsdale  AZ 85260-2426,"(33.6230941, -111.9204836)"
272 Beauty Creek,PO Box 85 (Mailing),Brockway,MT,59214,272 Beauty Creek Brockway MT 59214,"(47.28964999999999, -105.863386)"
1442 LA Hwy 694,,Abbeville,LA,70510,1442 LA Hwy 694 Abbeville LA 70510,"(29.9607573, -92.13679139999999)"
"110 S Lincoln, Suite 101",,Santa Maria,CA,93458,"110 S Lincoln, Suite 101 Santa Maria CA 93458","(34.9862337, -120.4330924)"
9770 Oak Street,,Whitesville,KY,42378,9770 Oak Street Whitesville KY 42378,"(37.6812032, -86.8804816)"
4512 Road 1074,,Wolf Point,MT,59201,4512 Road 1074 Wolf Point MT 59201,"(48.17163799999999, -105.6471896)"
801 Willow St W ,,Detroit Lakes ,MN,56501,801 Willow St W  Detroit Lakes  MN 56501,"(46.810225, -95.85772899999999)"
848 East Bench Road Note: No Mail Delivery,"PO Box 5686 Ketchum, ID 83340",Twin Bridges,MT,59754,848 East Bench Road Note: No Mail Delivery Twin Bridges MT 59754,"(45.4015701, -112.4181474)"
1408 12th St. ,,Langdon ,MN,58269,1408 12th St.  Langdon  MN 58269,"(48.7600007, -98.3681728)"
472 Barkers Landing Rd,,Magnolia,DE,19962,472 Barkers Landing Rd Magnolia DE 19962,"(39.0809557, -75.464606)"
8661 Hwy 183,,Uniontown,AL,38786,8661 Hwy 183 Uniontown AL 38786,"(32.564682, -87.4516823)"
13ALLBRITON LANE,,ALMA,GA,31510,13ALLBRITON LANE ALMA GA 31510,"(31.5393701, -82.4623557)"
3131 Elliott Ave STE 600A,,Seattle,WA,98121,3131 Elliott Ave STE 600A Seattle WA 98121,"(47.6178746, -122.3579844)"
4176 Stateline Rd.,,Walla Walla,WA,99362,4176 Stateline Rd. Walla Walla WA 99362,"(46.00101309999999, -118.4017581)"
P.O. Box 112,2663 28th St NW,Max,ND,58759,P.O. Box 112 Max ND 58759,"(47.8211141, -101.2987702)"
14714 Midland Rd,,San Leandro,CA,94578,14714 Midland Rd San Leandro CA 94578,"(37.7145215, -122.1239908)"
P O Box 667,401 W Maple,Canton,OK,73724,P O Box 667 Canton OK 73724,"(36.0536511, -98.5884164)"
1245 Hillview Drive,"1245 Hillview Drive, Dixon, CA, 95620",Dixon,CA,95620,1245 Hillview Drive Dixon CA 95620,"(38.442207, -121.8388694)"
13657 Wright Sheep Road,"111 Broadway Street St900, Salt Lake City, UT, 84111",Peoa,UT,84061,13657 Wright Sheep Road Peoa UT 84061,"(40.6890507, -111.4236296)"
150 County Road 217,,Parshall,CO,80468,150 County Road 217 Parshall CO 80468,"(39.9819183, -105.8086199)"
823 West Main Street,,Mayville,ND,58257,823 West Main Street Mayville ND 58257,"(47.5019126, -97.314641)"
1489 W 460,"Mailing: 489 N. 427 Road  Pryor, OK  74361",Pryor,OK,74361,1489 W 460 Pryor OK 74361,"(36.34878399999999, -95.282066)"
3276 Nashua Rd. N,,Larslan,MT,59244,3276 Nashua Rd. N Larslan MT 59244,"(48.5709429, -106.2378757)"
3750 Christiansen Lane,,Dillon,MT,59725,3750 Christiansen Lane Dillon MT 59725,"(45.33366669999999, -112.4416672)"
10841 West Highway 33,,Newdale,ID,83436,10841 West Highway 33 Newdale ID 83436,"(43.8740296, -111.3154058)"
3112 Highway 34,"P.O. Box 37, Napoleon, ND 58428, Logan County",Napoleon,ND,58561,3112 Highway 34 Napoleon ND 58561,"(46.5146799, -99.7643911)"
1771 Jules Lagrange Road,,Arnaudville,LA,70512,1771 Jules Lagrange Road Arnaudville LA 70512,"(30.4425822, -91.9779461)"
14856 Ludlow Rd.,, Ralph,SD,57650,14856 Ludlow Rd.  Ralph SD 57650,"(45.84182, -103.056115)"
1945 6th St SW,,Washburn,ND,58577,1945 6th St SW Washburn ND 58577,"(47.3288385, -100.9580704)"
One Oneonta Drive,,Wenatchee,WA,98801,One Oneonta Drive Wenatchee WA 98801,"(47.4385859, -120.3162139)"
746 Pinecreek Rd,,Plevna,MT,59344,746 Pinecreek Rd Plevna MT 59344,"(46.324028, -104.644779)"
10566 88th Street,,Oakes,ND,58474,10566 88th Street Oakes ND 58474,"(46.1383374, -98.1803855)"
2056 Hwy 31,,Arnaudville,LA,70512,2056 Hwy 31 Arnaudville LA 70512,"(30.455806, -91.93050699999999)"
18796 190th street ,,Barrett ,MN,56311,18796 190th street  Barrett  MN 56311,"(45.891824, -95.93802590000001)"
P.O. Box 520,26903 Sansarc Rd,Fort Pierre,SD,57532,P.O. Box 520 Fort Pierre SD 57532,"(44.3535933, -100.3737447)"
15 Sand Mountain Rd.,,Fort Meade,FL,33841,15 Sand Mountain Rd. Fort Meade FL 33841,"(27.7507213, -81.8093272)"
53675 W. 17600 N.,"P.O Box 836, Park Valley, UT, 84329",Park Valley,UT,84329,53675 W. 17600 N. Park Valley UT 84329,"(41.8166374, -113.3227429)"
844 Tulip Lane,,Richland,WA,99352,844 Tulip Lane Richland WA 99352,"(46.2550177, -119.2984792)"
61855 Smoke Creek Road,"PO BOX 150, Gerlach, NV. 89412",Gerlach,NV,89412,61855 Smoke Creek Road Gerlach NV 89412,"(40.7300998, -119.5230048)"
1165 West 10875 South,"P.O Box 298, Henefer, UT, 84033",Jordan,UT,84095,1165 West 10875 South Jordan UT 84095,"(40.5535079, -111.9247454)"
468 West Park Avenue,,Huron,SD,57350,468 West Park Avenue Huron SD 57350,"(44.372067, -98.25507479999999)"
23669 Batt Corner Road,,Parma,ID,83660,23669 Batt Corner Road Parma ID 83660,"(43.715429, -116.922904)"
P.O. Box 1928,120 N. 4th St.,Chickasha,OK,73023,P.O. Box 1928 Chickasha OK 73023,"(35.0499941, -97.9413038)"
39 Jennings Road,,Riverton,WY,82501,39 Jennings Road Riverton WY 82501,"(43.081207, -108.356127)"
3406 Hwy 14-16 E,3406 Hwy 14-16 E,Clearmont,WY,82835,3406 Hwy 14-16 E Clearmont WY 82835,"(44.59068860000001, -106.4292571)"
628 South 700 East,"PO Box 154, Duchesne, UT. 84021",Duchesne,UT,84021,628 South 700 East Duchesne UT 84021,"(40.1573655, -110.3896896)"
13185 6th Street South East,,Hope,ND,58046,13185 6th Street South East Hope ND 58046,"(47.3209125, -97.7207024)"
14667 County Road 5,,Rifle,CO,81650,14667 County Road 5 Rifle CO 81650,"(39.8135315, -108.1468739)"
343 Sulphur Springs Rd,,Adairville,KY,42202,343 Sulphur Springs Rd Adairville KY 42202,"(36.7156165, -86.7809149)"
1558 East 4300 North,,Buhl,ID,83316,1558 East 4300 North Buhl ID 83316,"(42.624448, -114.740886)"
2820 Main St Rd,,Vincennes,IN,47591,2820 Main St Rd Vincennes IN 47591,"(38.6351959, -87.49217759999999)"
409 Quartz Street,409 Quartz Street,Kemmerer,WY,83101,409 Quartz Street Kemmerer WY 83101,"(41.797981, -110.542613)"
934 W 4350 S,,Roosevelt,UT,84066,934 W 4350 S Roosevelt UT 84066,"(40.240089, -110.005906)"
485 Bowhall Rd ,,Painesville ,OH,44077,485 Bowhall Rd  Painesville  OH 44077,"(41.7403297, -81.2076227)"
13276 Monument Hill Rd. NW,,Quincy,WA,98848,13276 Monument Hill Rd. NW Quincy WA 98848,"(47.282419, -119.8398103)"
55 Mesa Rd,,Baggs,WY,82321,55 Mesa Rd Baggs WY 82321,"(41.075329, -107.62434)"
211 Ponce de Leon Avenue,,Clewiston,FL,33440,211 Ponce de Leon Avenue Clewiston FL 33440,"(26.7554342, -80.9353012)"
1851 West 600 North,1851 West 600 North,Blackfoot,ID,83221,1851 West 600 North Blackfoot ID 83221,"(43.281069, -112.661966)"
7879 South 2750 West,,Victor,ID,83455,7879 South 2750 West Victor ID 83455,"(43.6086468, -111.1551703)"
578 Barclay Street,,Craig,CO,81625,578 Barclay Street Craig CO 81625,"(40.5154753, -107.5510931)"
14095 Peyton Hwy.,"Mailing: 3742 Blue Bird Canyon Rd.  Vista, CA  92084",Peyton,CO,80831,14095 Peyton Hwy. Peyton CO 80831,"(39.033107, -104.472694)"
6115 Sunny Lane,,Las Cruces,NM,88011,6115 Sunny Lane Las Cruces NM 88011,"(32.2492103, -106.717593)"
16950 482nd Avenue,,Revillo,SD,57259,16950 482nd Avenue Revillo SD 57259,"(44.9258374, -96.557266)"
2428 oak orchard road,,Albion,NY,14411,2428 oak orchard road Albion NY 14411,"(43.2992715, -78.1956281)"
7756 SR 103,,Jenera,OH,45841,7756 SR 103 Jenera OH 45841,"(40.8926902, -83.7306404)"
700 Columbia Rd 61,,Magnolia ,AR,71753,700 Columbia Rd 61 Magnolia  AR 71753,"(33.2830605, -93.186949)"
312 E. Mill Suite 202,,Santa Maria,CA,93456,312 E. Mill Suite 202 Santa Maria CA 93456,"(34.9550794, -120.4320729)"
1730 La Hwy 35,,Rayne,LA,70578,1730 La Hwy 35 Rayne LA 70578,"(37.9418219, -96.7515814)"
263 King St,"Mailing:  198 Shadyside Ave.,  Concord,  MA 01742 ",Littleton,MA,1460,263 King St Littleton MA 1460,"(42.5382589, -71.487871)"
25420 Quinn River Ranch Rd,,Winnemucca,NV,89445,25420 Quinn River Ranch Rd Winnemucca NV 89445,"(41.4343293, -117.973866)"
10731 FM 967,,Buda,TX,78610,10731 FM 967 Buda TX 78610,"(30.1199823, -97.99281649999999)"
811 US HWY 87,,Hartley ,TX,79044,811 US HWY 87 Hartley  TX 79044,"(35.8855926, -102.3968605)"
5395 Bryan Road,,Jennings,LA,70546,5395 Bryan Road Jennings LA 70546,"(30.3204802, -92.69466489999999)"
8709 Old Jeanerette Road,,Jeanerette,LA,70544,8709 Old Jeanerette Road Jeanerette LA 70544,"(29.9434986, -91.6943129)"
1516 Pelican Loop,,Basile,LA,70515,1516 Pelican Loop Basile LA 70515,"(30.4984651, -92.54798219999999)"
400 Barracks Road,,Geneva,NY,14456,400 Barracks Road Geneva NY 14456,"(42.8459609, -77.0042484)"
4473 L'Anse Blue Road,,Ville Platte,LA,70586,4473 L'Anse Blue Road Ville Platte LA 70586,"(30.6376229, -92.326346)"
"PO Box 100, Dixon, WY 82323","Physical:  11388 County Road 101, Slater, CO 81653",Dixon,WY,82323,"PO Box 100, Dixon, WY 82323 Dixon WY 82323","(41.0332981, -107.5356211)"
19200 Highway 105,PO Box 999,Sour Lake,TX,77659,19200 Highway 105 Sour Lake TX 77659,"(30.1392775, -94.369614)"
"1027 Austin Hwy, Suite 200",,San Antonio,TX,78209,"1027 Austin Hwy, Suite 200 San Antonio TX 78209","(29.4854546, -98.4527571)"
322 Cypress Creek Road,,Scott,AR,72142,322 Cypress Creek Road Scott AR 72142,"(34.7631142, -92.04247199999999)"
617 Garber Rd,"Mailing: 139 B James Comeaux Rd Ste 587,Lafayette, LA 70508",Broussard,LA,70518,617 Garber Rd Broussard LA 70518,"(30.171055, -91.9713005)"
P.O. Box 73,501 Lee 115,Moro,AR,72368,P.O. Box 73 Moro AR 72368,"(34.7965745, -90.9900186)"
501 Ashmore Road,,Glenmora,LA,71433,501 Ashmore Road Glenmora LA 71433,"(30.963382, -92.62662)"
7141  11th St SE,,Pingree,ND,58476,7141  11th St SE Pingree ND 58476,"(47.258393, -98.990003)"
13390 SD Hwy 65,"P.O. Box 37, Isabel, SD 57633, Dewey County",Isabel,SD,57633,13390 SD Hwy 65 Isabel SD 57633,"(45.4599796, -101.429412)"
3471 Highway 42,,Cherry Valley,AR,72324,3471 Highway 42 Cherry Valley AR 72324,"(35.4002438, -90.7326775)"
335 Block Street,"P.O. Box 23, Marion, AR 72364, Crittenden County (Mailing) ",Marion,AR,72364,335 Block Street Marion AR 72364,"(35.2043181, -90.2025518)"
302 FM 359 Rd.,,Richmond,TX,77406,302 FM 359 Rd. Richmond TX 77406,"(29.599101, -95.74166260000001)"
3464 Tate Cove Rd,,Ville Platte,LA,70586,3464 Tate Cove Rd Ville Platte LA 70586,"(30.7453369, -92.2475382)"
20827 Pine Ridge Circle SE ,,Erskine ,MN,56535,20827 Pine Ridge Circle SE  Erskine  MN 56535,"(47.6175268, -96.0279704)"
30773 Highway 61,,Nitta Yuma,MS,37848-3847,30773 Highway 61 Nitta Yuma MS 37848-3847,"(32.5540128, -90.8267538)"
80 Rothwell Rd,,Seaman,OH,45679,80 Rothwell Rd Seaman OH 45679,"(38.9388467, -83.5202223)"
500 Franklin Rd,,Batesville,MS,38606,500 Franklin Rd Batesville MS 38606,"(34.2715214, -89.7896928)"
88 Retriever Lane,,DeWitt,AR,72042,88 Retriever Lane DeWitt AR 72042,"(34.2437051, -91.26401980000001)"
286 N4450,P.O.Box 286,Valliant,OK,74764,286 N4450 Valliant OK 74764,"(34.0023293, -95.0938386)"
315 Mill Road,PO Box 137 Morganville KS 67468,Morganville,KS,67468,315 Mill Road Morganville KS 67468,"(39.469302, -97.20962999999999)"
566 Bradley 5 North,,Banks,AR,71631,566 Bradley 5 North Banks AR 71631,"(33.46761, -92.221525)"
93 Anchor Dr.,,Yazoo City,MS,39194,93 Anchor Dr. Yazoo City MS 39194,"(32.9300337, -90.6011394)"
1919 14th Street,Suite 300,Boulder,CO,80302,1919 14th Street Boulder CO 80302,"(40.0176949, -105.277335)"
6310 Highway 182 E,,Morgan City,LA,70380,6310 Highway 182 E Morgan City LA 70380,"(29.69861329999999, -91.1982788)"
11501 SW CR 31,P.O. Box 492,Syracuse,KS,67878,11501 SW CR 31 Syracuse KS 67878,"(37.9805686, -101.7526718)"
"3215 Steck Avenue, Suite 101",,Austin,TX,78757,"3215 Steck Avenue, Suite 101 Austin TX 78757","(30.36585299999999, -97.7383409)"
473 Road 561,,Powderville,MT,59345,473 Road 561 Powderville MT 59345,"(45.87059530000001, -105.2308907)"
Rancho Corazon Hwy 59,,Laredo,TX,78041,Rancho Corazon Hwy 59 Laredo TX 78041,"(27.5696008, -99.4419283)"
3702 185th Avenue,,Titonka,IA,50480,3702 185th Avenue Titonka IA 50480,"(43.300648, -94.096148)"
1 Shiloh Lane ,,Dewitt,AR,72042,1 Shiloh Lane  Dewitt AR 72042,"(34.2807335, -91.34922259999999)"
4595 Hwy 165 S,,Stuttgart,AR,72160,4595 Hwy 165 S Stuttgart AR 72160,"(34.4940567, -91.55809529999999)"
5460 Highway 17 (Physical),8453 Highway 17 (Mailing),Holly Grove,AR,72069,5460 Highway 17 (Physical) Holly Grove AR 72069,"(34.5159636, -91.15507749999999)"
273 Ashley 289,,Crosset,AR,71635,273 Ashley 289 Crosset AR 71635,"(33.1240976, -91.9611917)"
205 N Adams Ave,,Keyes,OK,73947,205 N Adams Ave Keyes OK 73947,"(36.8098935, -102.2536127)"
4176 Stateline Rd,,Walla Walla ,WA,99362,4176 Stateline Rd Walla Walla  WA 99362,"(46.00101309999999, -118.4017581)"
1833 Flint Hill Rd,,Landenberg,PA,19350,1833 Flint Hill Rd Landenberg PA 19350,"(39.770102, -75.811791)"
105 Old Stone Road,,Norwich,NY,13815,105 Old Stone Road Norwich NY 13815,"(42.5552413, -75.5437506)"
7316 Pleasant St,,loudon,NH,3307,7316 Pleasant St loudon NH 3307,"(43.318227, -71.38128)"
1025 Bernard Street,,Breaux Bridge,LA,70517,1025 Bernard Street Breaux Bridge LA 70517,"(30.3120054, -91.7905308)"
197 ALICE LANE,,OAK GROVE,LA,71263,197 ALICE LANE OAK GROVE LA 71263,"(32.8752181, -91.4629916)"
44554 106th Street,,Veblen,SD,57270,44554 106th Street Veblen SD 57270,"(45.852432, -97.298249)"
54398 N Larussa Lane,P O Box 1147 Independence LA 70443 (Mailing),Independence,LA,70443,54398 N Larussa Lane Independence LA 70443,"(30.642906, -90.496188)"
88 East 400 North,,Rupert,ID,83350,88 East 400 North Rupert ID 83350,"(42.679303, -113.650447)"
416 E Morgan Rd,,Hagerman,NM,88232,416 E Morgan Rd Hagerman NM 88232,"(33.1093872, -104.3674394)"
1007 N Ranney Street,"5482 State Hwy Z, Sikeston, MO  63784",Sikeston,MO,63801,1007 N Ranney Street Sikeston MO 63801,"(36.888658, -89.58953500000001)"
P.O. Box 63,"11705 Jonestown-Claremont Rd, Lyon, MS  38645",Shelby,MS,38774,P.O. Box 63 Shelby MS 38774,"(33.9509439, -90.76787809999999)"
7111 Troy Hill Dr.,,Elkridge,MD,21075,7111 Troy Hill Dr. Elkridge MD 21075,"(39.1977536, -76.7593571)"
4552 Hall Center Rd.,,Walworth,NY,14568,4552 Hall Center Rd. Walworth NY 14568,"(43.169963, -77.247108)"
2525 Coulee Rd,,Woodworth,LA,71485,2525 Coulee Rd Woodworth LA 71485,"(31.1791822, -92.4736676)"
24034 Batt Corner Rd.,,Parma,ID,83660,24034 Batt Corner Rd. Parma ID 83660,"(43.7204051, -116.921408)"
11300 Highway 380,"Mailing: PO Box 424, Lake Charles, LA 70602",Lake Arthur,LA,70549,11300 Highway 380 Lake Arthur LA 70549,"(30.0989835, -92.7960512)"
